total_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_time,branch_count,decision_count,call_pairs,condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,formal_parameters,Defect
12,8,10,11,18,29,83,0.15,6.67,553.33,30.74,2,1,1,1,2,0.2,1,0,TRUE
12,8,10,11,18,29,83,0.15,6.67,553.33,30.74,2,1,1,1,2,0.2,1,0,FALSE
15,9,10,12,21,33,97,0.15,6.67,646.67,35.93,4,2,1,2,3,0.23,1,0,TRUE
20,10,10,14,24,38,113,0.14,7.14,807.14,44.84,6,3,2,3,3,0.18,1,0,FALSE
15,9,10,12,21,33,97,0.15,6.67,646.67,35.93,4,2,1,2,3,0.23,1,0,FALSE
15,8,10,13,22,35,101,0.12,8.33,841.67,46.76,4,2,1,2,3,0.23,1,0,TRUE
20,9,10,15,25,40,117,0.12,8.33,975,54.17,6,3,2,3,3,0.18,1,0,FALSE
15,8,10,13,22,35,101,0.12,8.33,841.67,46.76,4,2,1,2,3,0.23,1,0,FALSE
15,9,10,12,21,33,97,0.15,6.67,646.67,35.93,4,2,1,2,3,0.23,1,0,TRUE
20,10,10,14,24,38,113,0.14,7.14,807.14,44.84,6,3,2,3,3,0.18,1,0,FALSE
15,9,10,12,21,33,97,0.15,6.67,646.67,35.93,4,2,1,2,3,0.23,1,0,FALSE
15,9,10,12,21,33,97,0.15,6.67,646.67,35.93,4,2,1,2,3,0.23,1,0,TRUE
20,10,10,14,24,38,113,0.14,7.14,807.14,44.84,6,3,2,3,3,0.18,1,0,FALSE
15,9,10,12,21,33,97,0.15,6.67,646.67,35.93,4,2,1,2,3,0.23,1,0,FALSE
15,9,10,13,22,35,103,0.14,7.14,735.71,40.87,4,2,1,2,3,0.23,1,0,TRUE
20,10,10,15,25,40,119,0.13,7.69,915.38,50.85,6,3,2,3,3,0.18,1,0,FALSE
15,9,10,13,22,35,103,0.14,7.14,735.71,40.87,4,2,1,2,3,0.23,1,0,FALSE
15,9,10,13,22,35,103,0.14,7.14,735.71,40.87,4,2,1,2,3,0.23,1,0,TRUE
20,10,10,15,25,40,119,0.13,7.69,915.38,50.85,6,3,2,3,3,0.18,1,0,FALSE
15,9,10,13,22,35,103,0.14,7.14,735.71,40.87,4,2,1,2,3,0.23,1,0,FALSE
15,9,10,12,22,34,100,0.15,6.67,666.67,37.04,4,2,2,2,3,0.23,1,0,TRUE
20,10,10,14,25,39,116,0.14,7.14,828.57,46.03,6,3,3,3,3,0.18,1,0,FALSE
15,9,10,12,22,34,100,0.15,6.67,666.67,37.04,4,2,2,2,3,0.23,1,0,FALSE
15,9,10,12,21,33,97,0.15,6.67,646.67,35.93,4,2,1,2,3,0.23,1,0,TRUE
20,10,10,14,24,38,113,0.14,7.14,807.14,44.84,6,3,2,3,3,0.18,1,0,FALSE
15,9,10,12,21,33,97,0.15,6.67,646.67,35.93,4,2,1,2,3,0.23,1,0,FALSE
15,9,10,12,21,33,97,0.15,6.67,646.67,35.93,4,2,1,2,3,0.23,1,0,TRUE
20,10,10,14,24,38,113,0.14,7.14,807.14,44.84,6,3,2,3,3,0.18,1,0,FALSE
15,9,10,12,21,33,97,0.15,6.67,646.67,35.93,4,2,1,2,3,0.23,1,0,FALSE
15,9,10,12,22,34,100,0.15,6.67,666.67,37.04,4,2,2,2,3,0.23,1,0,TRUE
20,10,10,14,25,39,116,0.14,7.14,828.57,46.03,6,3,3,3,3,0.18,1,0,FALSE
15,9,10,12,22,34,100,0.15,6.67,666.67,37.04,4,2,2,2,3,0.23,1,0,FALSE
27,9,11,22,38,60,179,0.07,14.29,2557.14,142.06,8,4,3,4,4,0.17,1,0,TRUE
27,9,11,22,38,60,179,0.07,14.29,2557.14,142.06,8,4,3,4,4,0.17,1,0,FALSE
27,9,10,22,38,60,176,0.08,12.5,2200,122.22,8,4,3,4,4,0.17,1,0,FALSE
27,9,10,22,38,60,176,0.08,12.5,2200,122.22,8,4,3,4,4,0.17,1,0,FALSE
15,9,10,13,22,35,103,0.14,7.14,735.71,40.87,4,2,1,2,3,0.23,1,0,TRUE
20,10,10,15,25,40,119,0.13,7.69,915.38,50.85,6,3,2,3,3,0.18,1,0,FALSE
15,9,10,13,22,35,103,0.14,7.14,735.71,40.87,4,2,1,2,3,0.23,1,0,FALSE
15,9,10,13,22,35,103,0.14,7.14,735.71,40.87,4,2,1,2,3,0.23,1,0,TRUE
20,10,10,15,25,40,119,0.13,7.69,915.38,50.85,6,3,2,3,3,0.18,1,0,FALSE
15,9,10,13,22,35,103,0.14,7.14,735.71,40.87,4,2,1,2,3,0.23,1,0,FALSE
21,10,14,15,29,44,139,0.1,10,1390,77.22,6,3,2,3,2,0.11,1,0,TRUE
21,10,14,15,29,44,139,0.1,10,1390,77.22,6,3,2,3,2,0.11,1,0,FALSE
21,10,14,15,29,44,139,0.1,10,1390,77.22,6,3,2,3,2,0.11,1,0,FALSE
16,9,12,12,23,35,106,0.13,7.69,815.38,45.3,4,2,1,1,3,0.21,2,0,TRUE
