total_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_time,branch_count,decision_count,call_pairs,condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,formal_parameters,Defect
23,23,14,45,52,97,350,0.07,14.29,5000,277.78,2,1,9,1,2,0.11,1,1,TRUE
50,27,15,78,95,173,646,0.05,20,12920,717.78,8,4,11,4,4,0.11,1,1,TRUE
45,26,17,92,105,197,740,0.03,33.33,24666.67,1370.37,8,4,11,4,4,0.11,1,1,TRUE
38,20,22,48,75,123,459,0.04,25,11475,637.5,14,7,3,6,6,0.18,1.17,0,TRUE
127,49,28,206,271,477,2071,0.02,50,103550,5752.78,36,18,31,13,19,0.18,1.38,0,TRUE
58,41,24,102,131,233,972,0.03,33.33,32400,1800,14,7,7,5,7,0.15,1.4,0,TRUE
58,41,24,102,131,233,972,0.03,33.33,32400,1800,14,7,7,5,7,0.15,1.4,0,FALSE
99,62,23,213,248,461,2048,0.03,33.33,68266.67,3792.59,18,9,32,6,9,0.11,1.5,5,FALSE
108,72,23,227,264,491,2235,0.03,33.33,74500,4138.89,22,11,30,9,10,0.11,1.22,7,FALSE
46,32,17,98,101,199,774,0.04,25,19350,1075,4,2,15,1,3,0.08,2,1,FALSE
24,14,15,43,54,97,326,0.04,25,8150,452.78,4,2,7,2,3,0.15,1,1,TRUE
13,9,12,16,24,40,121,0.09,11.11,1344.44,74.69,2,1,2,1,2,0.17,1,0,TRUE
37,26,17,82,85,167,628,0.04,25,15700,872.22,4,2,12,1,3,0.1,2,1,FALSE
56,46,13,127,133,260,1060,0.06,16.67,17666.67,981.48,4,2,32,0,3,0.07,0,1,FALSE
56,46,13,127,133,260,1060,0.06,16.67,17666.67,981.48,4,2,32,0,3,0.07,0,1,TRUE
54,30,17,119,133,252,970,0.03,33.33,32333.33,1796.3,8,4,16,4,4,0.09,1,1,TRUE
47,34,22,92,111,203,817,0.03,33.33,27233.33,1512.96,26,13,9,11,12,0.27,1.18,2,FALSE
75,38,16,133,156,289,1152,0.04,25,28800,1600,14,7,19,7,6,0.1,1,1,TRUE
24,13,13,34,53,87,283,0.06,16.67,4716.67,262.04,6,3,2,3,4,0.21,1,1,FALSE
16,10,14,24,28,52,165,0.06,16.67,2750,152.78,2,1,4,1,2,0.17,1,1,TRUE
15,12,7,19,21,40,117,0.18,5.56,650,36.11,0,0,5,0,1,0.1,0,1,FALSE
17,17,14,40,43,83,285,0.06,16.67,4750,263.89,2,1,6,1,2,0.14,1,5,FALSE
16,12,9,16,24,40,121,0.17,5.88,711.76,39.54,4,2,4,2,3,0.25,1,1,FALSE
28,20,12,40,48,88,304,0.08,12.5,3800,211.11,6,3,9,2,4,0.22,1.5,2,FALSE
42,30,15,88,100,188,715,0.05,20,14300,794.44,8,4,17,2,5,0.16,2,5,FALSE
153,90,26,452,506,958,4553,0.02,50,227650,12647.22,46,23,52,20,17,0.13,1.15,4,TRUE
153,90,26,452,506,958,4553,0.02,50,227650,12647.22,46,23,52,20,17,0.13,1.15,4,TRUE
185,102,28,434,521,955,4648,0.02,50,232400,12911.11,40,20,71,15,20,0.12,1.33,2,TRUE
185,102,28,434,521,955,4648,0.02,50,232400,12911.11,40,20,71,15,20,0.12,1.33,2,TRUE
185,102,28,434,521,955,4648,0.02,50,232400,12911.11,40,20,71,15,20,0.12,1.33,2,TRUE
185,102,28,434,521,955,4648,0.02,50,232400,12911.11,40,20,71,15,20,0.12,1.33,2,TRUE
185,102,28,434,521,955,4648,0.02,50,232400,12911.11,40,20,71,15,20,0.12,1.33,2,TRUE
185,102,28,434,521,955,4648,0.02,50,232400,12911.11,40,20,71,15,20,0.12,1.33,2,TRUE
185,102,28,434,521,955,4648,0.02,50,232400,12911.11,40,20,71,15,20,0.12,1.33,2,TRUE
185,102,28,434,521,955,4648,0.02,50,232400,12911.11,40,20,71,15,20,0.12,1.33,2,TRUE
185,102,28,434,521,955,4648,0.02,50,232400,12911.11,40,20,71,15,20,0.12,1.33,2,TRUE
