IP_LOC,Method_LOC,File_LOC,Var_Type,Var_Property,Var_Init,Def_C_IP,Def_C_Other,Def_C_If,Def_C_For,Def_C_While,Def_V_IP,Def_V_Other,Def_V_If,Def_V_For,Def_V_While,Def_Lib_IP,Def_Lib_Other,Def_Lib_If,Def_Lib_For,Def_Lib_While,Def_User_IP,Def_User_Other,Def_User_If,Def_User_For,Def_User_While,Use_V_IP,Use_V_Other,Use_V_If,Use_V_For,Use_V_While,Use_Lib_IP,Use_Lib_Other,Use_Lib_If,Use_Lib_For,Use_Lib_While,Use_User_IP,Use_User_Other,Use_User_If,Use_User_For,Use_User_While,Use_If_IP,Use_If_Other,Use_For_IP,Use_For_Other,Use_While_IP,Use_While_Other,Defect
8,15,138,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,FALSE
8,15,138,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,5,0,0,0,2,0,0,0,0,FALSE
3,11,113,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
11,14,102,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,FALSE
1,1,104,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,1,104,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
8,26,331,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRUE
30,50,492,1,0,1,0,3,0,2,0,1,2,0,0,0,0,0,0,0,0,0,3,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,FALSE
8,10,808,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,FALSE
22,4,616,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
14,29,307,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
7,17,168,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,FALSE
10,25,251,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,8,1,0,0,0,1,0,0,0,1,3,3,0,0,0,2,0,0,0,0,FALSE
20,35,1002,0,0,1,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,2,0,0,0,2,4,4,0,0,1,5,2,0,0,0,2,0,0,0,0,1,0,0,0,0,TRUE
17,35,1002,0,0,1,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,1,1,0,0,0,2,3,4,0,0,1,4,2,0,0,0,2,0,0,0,0,1,0,0,0,0,TRUE
11,36,129,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,3,2,0,0,0,6,4,0,0,0,0,0,0,0,1,4,3,0,0,1,3,0,0,1,0,FALSE
37,52,112,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,1,3,0,0,0,0,FALSE
3,4,97,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
5,7,109,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
7,19,606,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE
28,46,518,1,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,8,2,6,0,2,7,2,6,0,0,0,0,0,0,0,14,7,13,0,1,8,0,3,0,0,FALSE
61,95,518,1,1,0,0,9,2,6,0,0,9,3,8,0,0,0,0,0,0,1,8,2,8,0,2,15,6,15,0,0,0,0,0,0,0,13,6,9,0,1,21,0,9,0,0,FALSE
31,24,487,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
