IP_LOC,Method_LOC,File_LOC,Var_Type,Var_Property,Var_Init,Def_C_IP,Def_C_Other,Def_C_If,Def_C_For,Def_C_While,Def_V_IP,Def_V_Other,Def_V_If,Def_V_For,Def_V_While,Def_Lib_IP,Def_Lib_Other,Def_Lib_If,Def_Lib_For,Def_Lib_While,Def_User_IP,Def_User_Other,Def_User_If,Def_User_For,Def_User_While,Use_V_IP,Use_V_Other,Use_V_If,Use_V_For,Use_V_While,Use_Lib_IP,Use_Lib_Other,Use_Lib_If,Use_Lib_For,Use_Lib_While,Use_User_IP,Use_User_Other,Use_User_If,Use_User_For,Use_User_While,Use_If_IP,Use_If_Other,Use_For_IP,Use_For_Other,Use_While_IP,Use_While_Other,Defect
8,22,99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,FALSE
231,53,369,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,5,1,0,0,0,2,0,0,0,0,4,2,0,0,1,0,0,0,0,0,FALSE
2,45,369,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,2,0,0,1,1,2,0,0,0,4,4,0,0,0,1,0,0,0,0,TRUE
12,61,1311,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,3,3,0,0,4,3,0,0,0,0,FALSE
11,16,2182,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE
11,16,2182,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE
2,53,317,1,1,0,0,6,0,0,0,1,1,1,0,0,0,1,1,0,0,0,5,2,0,0,1,2,2,0,0,0,3,0,0,0,0,6,5,0,0,0,2,0,0,0,0,TRUE
9,13,109,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,FALSE
24,28,2209,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,FALSE
45,107,2209,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,9,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,TRUE
