IP_LOC,Method_LOC,File_LOC,Var_Type,Var_Property,Var_Init,Def_C_IP,Def_C_Other,Def_C_If,Def_C_For,Def_C_While,Def_V_IP,Def_V_Other,Def_V_If,Def_V_For,Def_V_While,Def_Lib_IP,Def_Lib_Other,Def_Lib_If,Def_Lib_For,Def_Lib_While,Def_User_IP,Def_User_Other,Def_User_If,Def_User_For,Def_User_While,Use_V_IP,Use_V_Other,Use_V_If,Use_V_For,Use_V_While,Use_Lib_IP,Use_Lib_Other,Use_Lib_If,Use_Lib_For,Use_Lib_While,Use_User_IP,Use_User_Other,Use_User_If,Use_User_For,Use_User_While,Use_If_IP,Use_If_Other,Use_For_IP,Use_For_Other,Use_While_IP,Use_While_Other,Defect
65,68,413,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,TRUE
6,13,417,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,FALSE
12,19,417,0,1,0,0,7,0,4,0,1,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,7,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,FALSE
15,30,417,0,1,0,0,7,0,4,0,1,2,0,1,0,1,1,0,0,0,1,1,0,0,0,0,6,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,FALSE
1,30,417,0,1,0,0,9,0,4,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,FALSE
20,30,417,0,1,0,0,16,0,8,0,2,4,0,2,0,1,1,0,0,0,1,2,0,0,0,0,12,0,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,0,0,FALSE
10,38,417,0,1,0,0,7,0,4,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,FALSE
13,38,417,0,1,0,0,14,0,8,0,1,5,0,2,0,1,1,0,0,0,1,1,0,0,0,0,12,0,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,FALSE
7,19,417,0,1,0,0,7,0,4,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,FALSE
17,75,417,1,1,3,3,0,1,2,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,FALSE
54,75,417,0,1,0,1,13,7,4,0,3,12,10,4,0,0,1,1,0,0,0,2,2,0,0,1,16,12,9,0,0,0,0,0,0,0,5,5,0,0,0,5,0,4,0,0,FALSE
26,36,417,1,1,3,2,1,0,2,0,4,5,3,1,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,FALSE
13,26,152,0,1,0,0,1,0,0,0,0,2,0,0,1,0,3,0,0,2,1,0,0,0,0,0,2,0,0,1,1,4,0,0,2,0,1,0,0,0,0,0,0,0,0,1,FALSE
15,26,152,0,1,0,0,1,0,0,0,0,2,0,0,1,0,4,0,0,3,1,0,0,0,0,0,2,0,0,1,2,6,0,0,5,0,1,0,0,0,0,0,0,0,0,2,FALSE
7,30,152,0,1,3,3,3,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,TRUE
9,30,152,0,1,3,3,3,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,TRUE
10,26,324,0,1,0,1,4,0,2,0,0,2,0,0,0,1,0,1,0,0,2,0,2,1,0,0,3,1,3,0,0,0,0,0,0,0,3,3,2,0,0,3,0,1,0,0,FALSE
11,26,324,0,1,0,1,4,0,2,0,0,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,3,0,3,0,0,1,0,0,0,0,3,0,2,0,0,2,0,0,0,0,FALSE
4,11,390,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE
17,71,231,1,1,3,3,0,1,2,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,FALSE
54,71,231,0,1,0,1,11,5,4,0,3,12,10,4,0,0,1,1,0,0,0,2,2,0,0,1,16,12,9,0,0,0,0,0,0,0,5,5,0,0,0,5,0,4,0,0,FALSE
25,31,231,1,1,3,2,1,0,2,0,4,5,3,1,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,FALSE
4,10,257,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
7,38,257,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
5,11,257,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,TRUE
5,10,418,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
