IP_LOC,Method_LOC,File_LOC,Var_Type,Var_Property,Var_Init,Def_C_IP,Def_C_Other,Def_C_If,Def_C_For,Def_C_While,Def_V_IP,Def_V_Other,Def_V_If,Def_V_For,Def_V_While,Def_Lib_IP,Def_Lib_Other,Def_Lib_If,Def_Lib_For,Def_Lib_While,Def_User_IP,Def_User_Other,Def_User_If,Def_User_For,Def_User_While,Use_V_IP,Use_V_Other,Use_V_If,Use_V_For,Use_V_While,Use_Lib_IP,Use_Lib_Other,Use_Lib_If,Use_Lib_For,Use_Lib_While,Use_User_IP,Use_User_Other,Use_User_If,Use_User_For,Use_User_While,Use_If_IP,Use_If_Other,Use_For_IP,Use_For_Other,Use_While_IP,Use_While_Other,Defect
66,219,1454,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,TRUE
73,219,1454,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,TRUE
2,219,1454,0,1,0,0,2,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,4,0,0,0,1,TRUE
150,219,1454,0,1,0,1,4,1,0,2,2,3,1,0,4,0,4,2,0,2,0,3,2,0,1,1,3,0,0,3,2,4,1,0,5,1,1,1,0,1,2,10,0,0,1,0,TRUE
174,219,1454,0,1,0,2,4,1,0,3,3,3,1,0,5,0,4,2,0,2,0,3,2,0,1,2,3,0,0,4,2,4,1,0,5,1,8,8,0,1,4,12,0,0,3,0,TRUE
45,409,1454,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,2,1,3,0,0,0,4,0,0,0,0,TRUE
45,409,1454,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,2,1,3,0,0,0,4,0,0,0,0,TRUE
34,317,1454,0,1,0,2,9,2,10,0,3,5,4,4,0,0,0,0,0,0,0,1,1,1,0,1,9,5,10,0,0,1,1,0,0,0,1,1,1,0,0,3,0,2,0,0,TRUE
34,317,1454,0,1,0,2,9,2,10,0,3,5,4,4,0,0,0,0,0,0,0,1,1,1,0,1,9,5,10,0,0,1,1,0,0,0,1,1,1,0,0,3,0,2,0,0,TRUE
188,317,1454,0,1,0,1,9,1,9,0,1,6,2,3,0,0,1,1,1,0,0,1,1,1,0,0,9,4,9,0,1,2,3,2,0,0,5,5,1,0,0,10,0,2,0,0,TRUE
229,317,1454,0,1,0,1,11,1,11,0,1,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,7,2,7,0,1,1,1,1,0,0,0,0,0,0,0,4,0,2,0,0,TRUE
241,317,1454,0,1,0,1,11,1,11,0,1,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,7,2,7,0,2,1,1,2,0,0,0,0,0,0,0,7,0,2,0,0,TRUE
256,317,1454,0,1,0,1,10,1,10,0,3,9,7,8,0,0,2,1,2,0,0,2,2,2,0,1,17,13,17,0,2,3,3,4,0,0,6,6,2,0,0,14,0,2,0,0,TRUE
265,317,1454,0,1,0,3,7,0,7,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,TRUE
22,73,589,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,TRUE
27,73,589,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,TRUE
71,104,589,1,1,1,0,6,2,0,3,0,3,1,0,3,0,0,0,0,0,0,1,1,0,1,1,2,1,0,3,0,2,2,0,0,1,12,13,0,4,0,13,0,0,0,1,TRUE
12,71,589,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
42,71,589,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,TRUE
47,71,589,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,TRUE
11,71,589,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,TRUE
11,71,589,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,TRUE
14,71,589,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,4,0,0,2,1,0,0,0,0,TRUE
25,71,589,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,4,0,0,2,2,0,0,0,0,TRUE
5,71,589,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,TRUE
5,71,589,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,TRUE
13,71,589,1,1,0,0,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,TRUE
585,1116,1860,1,0,2,5,25,8,6,9,4,13,6,0,6,1,9,9,1,3,0,0,0,0,0,6,14,5,6,8,2,46,43,1,12,0,0,0,0,0,2,45,1,1,0,3,TRUE
590,1116,1860,1,0,2,5,26,9,6,10,5,14,8,0,8,2,10,11,1,4,0,0,0,0,0,7,17,9,6,12,2,48,45,1,13,0,0,0,0,0,2,46,1,1,0,3,TRUE
601,1116,1860,1,0,2,5,26,9,6,10,6,14,8,0,9,3,12,13,1,5,0,0,0,0,0,8,19,9,6,15,2,51,47,1,14,0,0,0,0,0,2,48,1,1,0,3,TRUE
222,1116,1860,0,1,1,1,8,2,0,0,1,3,2,0,0,0,3,2,0,1,0,0,0,0,0,1,5,2,0,0,4,4,6,0,3,0,0,0,0,0,0,13,0,0,0,2,TRUE
223,1116,1860,1,1,2,1,9,2,0,0,0,4,2,0,0,1,2,2,0,1,0,0,0,0,0,0,6,2,0,0,1,7,5,0,3,0,0,0,0,0,1,12,0,0,0,2,TRUE
226,1116,1860,0,1,1,1,8,2,0,0,1,3,2,0,0,0,3,2,0,1,0,0,0,0,0,1,5,2,0,0,4,4,6,0,2,0,0,0,0,0,0,13,0,0,0,2,TRUE
227,1116,1860,0,1,1,1,8,2,0,0,1,3,2,0,0,0,4,3,0,1,0,0,0,0,0,1,5,2,0,0,5,4,7,0,3,0,0,0,0,0,0,14,0,0,0,2,TRUE
