IP_LOC,Method_LOC,Var_Init,Def_C,Def_V,Def_Null,Def_Lib,Def_User,Def_If,Def_For,Def_While,Use_V,Use_Lib,Use_User,Use_If,Use_For,Use_While,If_Con,For_Con,While_Con,Defect
8,15,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,FALSE
8,15,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,FALSE
3,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,TRUE
11,14,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,FALSE
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
8,26,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,TRUE
30,50,1,0,1,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,FALSE
8,10,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,FALSE
22,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
14,29,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,FALSE
7,17,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,FALSE
10,25,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,FALSE
20,35,1,0,1,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,TRUE
17,35,1,0,1,0,0,1,1,0,0,2,1,0,2,0,0,0,0,0,TRUE
11,36,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,FALSE
37,52,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,FALSE
3,4,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
5,7,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,FALSE
7,19,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,FALSE
28,46,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,FALSE
61,95,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,1,0,0,FALSE
31,24,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,TRUE
167,347,0,0,0,1,0,0,0,0,0,0,0,3,1,0,3,5,0,0,TRUE
2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE
3,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,FALSE
3,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
5,10,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,TRUE
16,38,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,TRUE
2,15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
4,33,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,TRUE
63,400,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
36,37,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,FALSE
4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,FALSE
35,46,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,FALSE
39,46,0,0,6,0,0,0,5,0,0,9,0,0,9,0,0,0,0,0,FALSE
19,46,0,0,8,0,0,0,0,0,7,7,0,0,0,0,7,0,0,0,FALSE
36,46,0,0,4,0,0,0,3,0,0,6,0,0,6,0,0,0,0,0,FALSE
18,46,0,0,6,0,0,0,0,0,5,7,0,0,0,0,7,0,0,0,FALSE
38,46,0,0,6,0,0,0,5,0,0,6,0,0,6,0,0,0,0,0,FALSE
33,46,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,FALSE
34,46,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,FALSE
17,46,0,0,5,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,FALSE
16,46,0,0,5,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,FALSE
20,46,0,0,8,0,0,0,0,0,7,8,0,0,0,0,8,0,0,0,FALSE
15,46,0,0,3,0,0,0,0,0,2,3,0,0,0,0,3,0,0,0,FALSE
42,51,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,FALSE
46,51,0,0,6,0,0,0,5,0,0,9,0,0,9,0,0,0,0,0,FALSE
26,51,0,0,8,0,0,0,0,7,0,7,0,0,0,7,0,0,0,0,FALSE
43,51,0,0,4,0,0,0,3,0,0,6,0,0,6,0,0,0,0,0,FALSE
25,51,0,0,6,0,0,0,0,5,0,7,0,0,0,7,0,0,0,0,FALSE
45,51,0,0,6,0,0,0,5,0,0,6,0,0,6,0,0,0,0,0,FALSE
40,51,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,FALSE
41,51,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,FALSE
24,51,0,0,5,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,FALSE
23,51,0,0,5,0,0,0,0,4,0,3,0,0,0,3,0,0,0,0,FALSE
27,51,0,0,8,0,0,0,0,7,0,8,0,0,0,8,0,0,0,0,FALSE
22,51,0,0,3,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,FALSE
43,52,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,FALSE
47,52,0,0,6,0,0,0,5,0,0,9,0,0,9,0,0,0,0,0,FALSE
27,52,0,0,8,0,0,0,0,7,0,7,0,0,0,7,0,0,0,0,FALSE
44,52,0,0,4,0,0,0,3,0,0,6,0,0,6,0,0,0,0,0,FALSE
26,52,0,0,6,0,0,0,0,5,0,7,0,0,0,7,0,0,0,0,FALSE
46,52,0,0,6,0,0,0,5,0,0,6,0,0,6,0,0,0,0,0,FALSE
41,52,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,FALSE
42,52,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,FALSE
25,52,0,0,5,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,FALSE
24,52,0,0,5,0,0,0,0,4,0,3,0,0,0,3,0,0,0,0,FALSE
28,52,0,0,8,0,0,0,0,7,0,8,0,0,0,8,0,0,0,0,FALSE
23,52,0,0,3,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,FALSE
8,16,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,FALSE
35,36,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,FALSE
2,170,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,TRUE
13,34,0,0,0,0,0,1,0,1,0,0,0,2,1,2,0,0,0,0,FALSE
6,33,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,FALSE
59,41,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,FALSE
27,39,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,TRUE
11,67,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
12,30,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,2,0,0,TRUE
444,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
381,55,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,FALSE
465,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,FALSE
11,31,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,FALSE
48,29,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,FALSE
2,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
4,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,TRUE
2,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
4,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,TRUE
2,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
4,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,TRUE
2,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
4,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,TRUE
10,92,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,TRUE
10,92,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,TRUE
6,18,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,FALSE
2,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE
7,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,FALSE
7,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,FALSE
8,16,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,FALSE
6,104,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,FALSE
26,264,1,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,TRUE
26,264,1,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,TRUE
