IP_LOC,Method_LOC,Var_Init,Def_C,Def_V,Def_Null,Def_Lib,Def_User,Def_If,Def_For,Def_While,Use_V,Use_Lib,Use_User,Use_If,Use_For,Use_While,If_Con,For_Con,While_Con,Defect
8,22,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,FALSE
231,53,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,FALSE
12,61,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,FALSE
11,16,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,FALSE
11,16,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,FALSE
9,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
24,28,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,FALSE
6,27,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,FALSE
11,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
13,24,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,FALSE
7,15,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,FALSE
11,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
9,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
2,15,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
9,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
13,17,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
771,32,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,FALSE
49,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
470,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
611,30,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,FALSE
11,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
9,114,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,FALSE
7,85,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,FALSE
7,40,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,FALSE
7,49,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,FALSE
7,37,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,FALSE
35,43,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,FALSE
3,30,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,FALSE
1,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,FALSE
2,80,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,FALSE
1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
7,76,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
52,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
15,35,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
4,23,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,FALSE
12,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
79,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE
19,34,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
2,45,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
2,53,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,TRUE
45,107,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,TRUE
8,19,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,TRUE
6,12,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,TRUE
3,15,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,TRUE
9,63,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,TRUE
27,32,0,0,0,1,0,1,0,0,0,10,0,1,0,0,0,0,0,0,TRUE
28,32,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,TRUE
64,85,0,0,0,0,0,2,0,0,0,15,0,0,1,0,0,0,0,0,TRUE
1,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
92,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE
26,59,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,TRUE
