IP_LOC,Method_LOC,Var_Init,Def_C,Def_V,Def_Null,Def_Lib,Def_User,Def_If,Def_For,Def_While,Use_V,Use_Lib,Use_User,Use_If,Use_For,Use_While,If_Con,For_Con,While_Con,Defect
29,50,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,FALSE
5,50,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,FALSE
28,50,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,FALSE
5,50,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,FALSE
23,43,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,FALSE
4,43,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,FALSE
2,424,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,FALSE
2,440,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,FALSE
1,313,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,313,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,313,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,313,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
14,63,0,0,0,1,0,1,2,0,0,0,0,1,1,0,0,0,0,0,FALSE
15,72,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,TRUE
284,10,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,FALSE
270,10,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,FALSE
2,10,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,FALSE
56,18,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
228,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,TRUE
15,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
1,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
3,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
3,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
4,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
5,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
4,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
5,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
4,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
5,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
5,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,TRUE
7,47,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,TRUE
2,47,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,TRUE
16,23,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,FALSE
1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE
1,194,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,169,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,169,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,169,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,169,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,169,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,169,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,126,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
