IP_LOC,Method_LOC,Var_Init,Def_C,Def_V,Def_Null,Def_Lib,Def_User,Def_If,Def_For,Def_While,Use_V,Use_Lib,Use_User,Use_If,Use_For,Use_While,If_Con,For_Con,While_Con,Defect
6,14,2,0,1,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,FALSE
4,11,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,TRUE
6,11,2,0,0,0,0,1,1,0,0,0,0,1,4,0,0,4,0,0,FALSE
9,11,2,0,2,0,0,2,1,0,0,2,0,3,4,0,0,4,0,0,FALSE
8,13,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,TRUE
11,13,2,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2,0,0,FALSE
4,21,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,TRUE
14,21,2,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2,0,0,TRUE
7,25,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,TRUE
18,25,2,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2,0,0,FALSE
4,15,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
9,15,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,FALSE
15,23,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
1,25,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
11,25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
16,25,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,FALSE
15,25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
1,40,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
1,40,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
19,38,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,2,0,0,TRUE
20,38,0,0,0,0,0,1,0,0,0,0,0,4,2,0,0,2,0,0,TRUE
22,38,0,0,0,0,0,1,0,0,0,0,1,5,3,0,0,4,0,0,TRUE
22,38,0,0,0,0,0,1,0,0,0,0,1,5,3,0,0,4,0,0,TRUE
1,50,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
5,50,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
8,28,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
15,28,0,0,1,0,0,1,0,0,0,1,0,2,1,0,0,1,0,0,FALSE
16,28,0,1,1,0,0,1,0,0,0,2,0,2,1,0,0,1,0,0,FALSE
1,91,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
1,91,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
6,91,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,2,0,FALSE
6,91,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,2,0,FALSE
