IP_LOC,Method_LOC,Var_Init,Def_C,Def_V,Def_Null,Def_Lib,Def_User,Def_If,Def_For,Def_While,Use_V,Use_Lib,Use_User,Use_If,Use_For,Use_While,If_Con,For_Con,While_Con,Defect
65,68,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,TRUE
6,13,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,FALSE
12,19,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
15,30,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
20,30,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
10,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
13,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
7,19,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
17,75,3,0,0,1,0,1,0,2,0,1,0,0,1,2,0,1,2,0,FALSE
54,75,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
26,36,3,0,2,0,0,0,0,2,0,4,0,0,1,2,0,1,2,0,FALSE
13,26,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,FALSE
15,26,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,FALSE
7,30,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,TRUE
9,30,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,TRUE
10,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
11,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
4,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
17,71,3,0,0,1,0,1,0,2,0,1,0,0,1,2,0,1,2,0,FALSE
54,71,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
25,31,3,0,2,0,0,0,0,2,0,4,0,0,1,2,0,1,2,0,FALSE
4,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
7,38,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
5,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
5,10,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
5,12,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
5,13,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
4,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
9,16,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,FALSE
1,19,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
26,38,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,12,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
6,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
8,15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,FALSE
51,56,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,FALSE
20,125,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
41,125,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,FALSE
400,462,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,FALSE
408,462,2,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,FALSE
112,125,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,FALSE
486,551,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
487,551,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
508,551,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,FALSE
516,551,0,2,1,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,FALSE
544,551,0,2,1,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,FALSE
58,79,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,FALSE
211,360,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE
200,334,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE
179,344,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE
197,462,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE
