IP_LOC,Method_LOC,Var_Init,Def_C,Def_V,Def_Null,Def_Lib,Def_User,Def_If,Def_For,Def_While,Use_V,Use_Lib,Use_User,Use_If,Use_For,Use_While,If_Con,For_Con,While_Con,Defect
8,220,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,TRUE
13,25,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,FALSE
14,25,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,FALSE
585,1112,2,0,6,0,2,0,0,2,0,9,4,3,3,2,0,5,1,0,TRUE
590,1112,2,0,7,0,3,0,0,2,0,10,4,3,3,2,0,5,1,0,TRUE
601,1112,2,0,9,0,5,0,0,2,0,12,4,3,3,2,0,5,1,0,TRUE
222,1112,1,0,2,0,0,0,0,0,0,1,5,0,2,0,1,2,0,1,TRUE
223,1112,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,TRUE
226,1112,1,0,2,0,0,0,0,0,0,1,6,0,3,0,1,3,0,1,TRUE
227,1112,1,0,2,0,0,0,0,0,0,1,7,0,3,0,1,3,0,1,TRUE
238,1112,0,0,1,0,1,0,1,0,0,0,2,0,0,0,1,1,0,1,TRUE
280,1112,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,0,0,FALSE
280,1112,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,FALSE
281,1112,0,1,0,0,1,0,0,0,0,0,2,0,1,1,0,1,1,0,FALSE
550,1112,0,0,1,0,1,0,1,0,0,0,3,0,1,0,1,3,0,1,TRUE
557,1112,1,0,2,0,0,0,0,0,0,1,8,0,3,0,1,3,0,1,TRUE
564,1112,0,0,1,0,1,0,0,0,0,0,4,0,1,0,1,3,0,1,TRUE
3,30,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,FALSE
3,67,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,TRUE
16,67,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,TRUE
10,67,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,TRUE
