IP_LOC,Method_LOC,File_LOC,Var_Type,Var_Property,Var_Init,Def_C_IP,Def_C_Other,Def_C_If,Def_C_For,Def_C_While,Def_V_IP,Def_V_Other,Def_V_If,Def_V_For,Def_V_While,Def_Lib_IP,Def_Lib_Other,Def_Lib_If,Def_Lib_For,Def_Lib_While,Def_User_IP,Def_User_Other,Def_User_If,Def_User_For,Def_User_While,Use_V_IP,Use_V_Other,Use_V_If,Use_V_For,Use_V_While,Use_Lib_IP,Use_Lib_Other,Use_Lib_If,Use_Lib_For,Use_Lib_While,Use_User_IP,Use_User_Other,Use_User_If,Use_User_For,Use_User_While,Use_If_IP,Use_If_Other,Use_For_IP,Use_For_Other,Use_While_IP,Use_While_Other,Defect
49,26,111,0,0,1,0,2,1,0,0,0,2,2,0,0,0,1,1,0,0,2,1,1,0,0,0,3,2,0,0,0,1,0,0,0,1,7,2,0,0,0,2,0,0,0,0,TRUE
118,57,174,1,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,1,1,1,0,0,0,10,0,0,0,2,4,0,0,0,0,TRUE
79,50,375,1,0,2,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,4,0,0,0,0,3,0,0,0,5,6,0,0,0,0,TRUE
16,41,1019,1,1,3,3,4,0,4,0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2,0,0,TRUE
96,130,1019,1,1,3,15,7,4,4,10,13,3,6,2,6,0,0,0,0,0,0,2,0,0,2,6,8,7,2,8,2,6,2,1,0,6,11,3,4,12,5,10,2,4,0,4,TRUE
48,61,1019,1,1,3,3,20,8,11,3,2,6,2,1,2,0,0,0,0,0,0,2,0,0,0,1,9,2,6,2,0,0,0,0,0,1,12,0,6,1,0,5,1,2,0,1,TRUE
486,61,1019,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,FALSE
734,102,1019,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,FALSE
846,111,1019,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,FALSE
26,49,1172,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,FALSE
136,27,1149,0,0,1,0,1,1,0,0,1,2,2,0,0,1,0,1,0,0,1,0,1,0,0,0,4,2,0,0,1,4,2,0,0,1,8,3,0,0,0,4,0,0,0,0,TRUE
147,16,1149,0,0,1,0,2,1,0,0,1,2,1,0,0,1,0,1,0,0,1,0,1,0,0,0,4,1,0,0,0,0,0,0,0,1,2,3,0,0,0,2,0,0,0,0,TRUE
26,40,1149,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,FALSE
609,59,1149,0,0,1,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,FALSE
609,59,1149,0,0,1,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,TRUE
105,59,824,1,0,2,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,1,7,2,0,0,0,5,0,0,0,7,10,0,0,0,0,TRUE
13,50,824,1,1,3,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,FALSE
327,78,488,1,0,2,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0,1,1,1,0,0,0,19,0,0,0,2,3,0,0,0,0,TRUE
382,17,488,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE
1,47,111,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,TRUE
1,47,111,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,TRUE
1,47,111,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,TRUE
142,19,1439,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,3,1,0,0,0,4,0,0,0,1,2,3,0,0,0,2,0,0,0,0,TRUE
724,18,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
872,20,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1169,19,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1193,31,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1354,45,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,48,210,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE
1,48,210,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE
1,48,210,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE
1,43,109,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE
1,43,109,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE
81,158,805,1,1,0,1,14,0,9,0,0,8,1,5,0,1,0,0,0,0,6,1,0,6,0,0,10,1,9,0,0,0,0,0,0,10,14,3,16,0,7,4,0,4,0,0,TRUE
95,158,805,1,1,0,1,18,0,11,0,0,9,1,5,0,1,0,0,0,0,6,1,0,6,0,0,11,1,10,0,0,0,0,0,0,17,14,3,23,0,11,4,0,6,0,0,TRUE
44,190,805,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,TRUE
59,190,805,0,1,0,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,0,TRUE
74,190,805,0,1,0,1,8,0,4,0,1,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,6,3,2,0,0,4,0,3,0,0,TRUE
69,190,805,0,1,0,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,0,TRUE
78,190,805,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,1,0,0,0,1,0,0,0,0,TRUE
118,190,805,0,1,0,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,3,0,0,0,0,0,0,2,2,2,0,0,0,3,0,0,0,0,TRUE
131,190,805,0,1,0,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,3,0,0,0,0,0,0,2,3,3,0,0,0,4,0,0,0,0,TRUE
163,190,805,0,1,0,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,3,0,0,0,0,0,0,2,4,3,0,0,0,4,0,0,0,0,TRUE
1,128,1506,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE
1,128,1506,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE
