IP_LOC,Method_LOC,Var_Init,Def_C,Def_V,Def_Null,Def_Lib,Def_User,Def_If,Def_For,Def_While,Use_V,Use_Lib,Use_User,Use_If,Use_For,Use_While,If_Con,For_Con,While_Con,Defect
49,52,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,TRUE
118,121,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,TRUE
79,83,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,5,0,0,TRUE
16,38,3,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,TRUE
96,127,3,2,8,0,0,0,0,4,0,5,2,6,2,2,0,5,2,0,TRUE
48,58,3,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,TRUE
486,488,2,1,0,0,0,4,0,1,0,5,2,7,3,6,0,9,5,0,FALSE
734,736,2,1,0,0,0,6,0,1,0,7,2,21,3,6,0,9,5,0,FALSE
846,848,2,1,0,0,0,7,0,1,0,8,2,22,3,6,0,9,5,0,FALSE
26,46,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,3,0,0,FALSE
136,138,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
147,149,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
26,37,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,3,0,0,FALSE
609,626,0,0,1,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,TRUE
105,110,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,7,0,0,TRUE
13,47,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,FALSE
327,341,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,2,0,0,TRUE
382,389,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,FALSE
1,41,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
142,144,1,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,TRUE
724,734,1,0,1,0,0,2,0,0,0,2,2,1,0,0,0,0,0,0,FALSE
872,875,1,0,1,0,0,3,0,0,0,2,2,2,0,0,0,0,0,0,FALSE
1169,1173,1,0,1,0,0,3,0,0,0,2,2,2,0,0,0,0,0,0,FALSE
1193,1205,1,0,1,0,0,3,0,0,0,2,2,2,0,0,0,0,0,0,FALSE
1354,1376,1,0,1,0,0,3,0,0,0,2,2,2,0,0,0,0,0,0,FALSE
1,43,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
1,38,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
81,153,1,0,1,0,0,9,0,0,0,0,0,15,0,0,0,7,0,0,TRUE
95,153,1,0,1,0,0,9,0,0,0,0,0,22,0,0,0,11,0,0,TRUE
44,185,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
59,185,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,TRUE
74,185,0,0,0,1,0,2,0,0,0,0,0,4,1,0,0,1,0,0,TRUE
69,185,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,TRUE
78,185,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,TRUE
106,185,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
118,185,0,0,0,1,0,1,0,0,0,0,0,2,2,3,0,2,0,0,TRUE
131,185,0,0,0,1,0,1,0,0,0,0,0,3,3,3,0,3,0,0,TRUE
163,185,0,0,0,1,0,1,0,0,0,0,0,4,3,3,0,3,0,0,TRUE
1,125,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
