total_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_time,branch_count,decision_count,call_pairs,condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,formal_parameters,Defect
15,11,8,12,9,21,0.29,0.23,4.35,1.26,0.07,1,1,1,2,7.5,2,2,0,FALSE
15,11,8,12,9,21,0.29,0.23,4.35,1.26,0.07,1,1,1,2,7.5,2,2,0,FALSE
11,4,5,9,9,18,0.17,0.18,5.56,0.95,0.05,2,2,0,4,3.67,3,2,1,TRUE
14,6,8,11,11,22,0.16,0.14,7.14,1.14,0.06,1,1,0,2,7,2,2,1,FALSE
1,29,13,64,43,107,0.11,0.07,14.29,1.57,0.09,5,5,0,10,0.05,20,2,0,FALSE
1,29,13,64,43,107,0.11,0.07,14.29,1.57,0.09,5,5,0,10,0.05,20,2,0,FALSE
26,7,9,14,17,31,0.13,0.11,9.09,1.18,0.07,6,5,1,8,3.25,8,1.6,4,TRUE
50,13,6,23,18,41,0.24,0.19,5.26,1.26,0.07,2,2,0,4,0,3,2,3,FALSE
10,4,7,4,9,13,0.3,0.29,3.45,1.03,0.06,2,2,2,2,3.33,3,1,1,FALSE
4,2,1,2,2,4,0.95,2,0.5,0.47,0.03,0,0,0,0,4,1,0,0,FALSE
29,18,7,36,56,92,0.2,0.14,7.14,1.43,0.08,7,7,0,13,3.62,8,1.86,0,FALSE
17,5,7,10,11,21,0.15,0.14,7.14,1.07,0.06,1,1,1,4,8.5,2,4,2,FALSE
25,11,7,22,29,51,0.18,0.14,7.14,1.29,0.07,4,4,0,7,5,5,1.75,3,FALSE
35,9,8,16,22,38,0.17,0.14,7.14,1.21,0.07,6,4,2,4,5,7,1,5,TRUE
35,9,8,16,22,38,0.17,0.14,7.14,1.21,0.07,6,4,2,4,5,7,1,5,TRUE
36,8,10,19,28,47,0.1,0.08,12.5,1.25,0.07,6,6,0,12,4.5,8,2,3,FALSE
52,16,10,25,25,50,0.18,0.13,7.69,1.38,0.08,3,3,1,10,0,6,3.33,1,FALSE
4,1,2,1,2,3,0.48,1,1,0.48,0.03,0,0,0,0,4,1,0,1,TRUE
7,3,3,4,6,10,0.39,0.5,2,0.78,0.04,0,0,0,2,7,1,0,2,FALSE
19,14,10,34,40,74,0.11,0.08,12.5,1.38,0.08,3,3,1,5,4.75,4,1.67,4,FALSE
46,23,15,42,45,87,0.11,0.07,14.29,1.57,0.09,8,8,4,16,5.11,9,2,9,FALSE
95,7,10,16,19,35,0.11,0.09,11.11,1.22,0.07,4,4,0,7,0,5,1.75,4,FALSE
24,11,12,20,28,48,0.12,0.09,11.11,1.33,0.07,4,4,2,10,4,6,2.5,1,TRUE
347,3,4,4,4,8,0.32,0.38,2.63,0.84,0.05,1,1,0,2,0,2,2,3,TRUE
7,2,6,2,6,8,0.3,0.33,3.03,0.91,0.05,1,1,0,2,3.5,2,2,1,FALSE
6,3,6,3,6,9,0.31,0.33,3.03,0.94,0.05,0,0,0,5,3,2,0,1,FALSE
6,8,6,13,10,23,0.24,0.21,4.76,1.14,0.06,2,2,1,2,2,3,1,3,TRUE
10,4,4,4,7,11,0.45,0.5,2,0.9,0.05,1,1,2,2,5,2,2,3,TRUE
38,1,1,1,1,2,0.6,2,0.5,0.3,0.02,0,0,0,0,0,1,0,3,TRUE
15,9,12,10,20,30,0.2,0.15,6.67,1.33,0.07,2,1,2,2,5,3,2,0,TRUE
33,14,12,26,26,52,0.13,0.09,11.11,1.44,0.08,5,4,0,9,4.71,7,2.25,3,TRUE
400,32,14,64,61,125,0.12,0.07,14.29,1.71,0.1,11,10,0,19,0,13,1.9,3,TRUE
37,6,4,7,11,18,0.43,0.43,2.33,1,0.06,1,1,0,1,0,2,1,5,FALSE
4,3,2,4,6,10,0.52,0.75,1.33,0.69,0.04,0,0,0,0,4,1,0,2,FALSE
46,18,15,134,106,240,0.03,0.02,50,1.5,0.08,5,2,0,2,7.67,6,1,4,FALSE
46,18,15,134,106,240,0.03,0.02,50,1.5,0.08,5,2,0,2,7.67,6,1,4,FALSE
46,18,15,134,106,240,0.03,0.02,50,1.5,0.08,5,2,0,2,7.67,6,1,4,FALSE
46,18,15,134,106,240,0.03,0.02,50,1.5,0.08,5,2,0,2,7.67,6,1,4,FALSE
46,18,15,134,106,240,0.03,0.02,50,1.5,0.08,5,2,0,2,7.67,6,1,4,FALSE
46,18,15,134,106,240,0.03,0.02,50,1.5,0.08,5,2,0,2,7.67,6,1,4,FALSE
46,18,15,134,106,240,0.03,0.02,50,1.5,0.08,5,2,0,2,7.67,6,1,4,FALSE
46,18,15,134,106,240,0.03,0.02,50,1.5,0.08,5,2,0,2,7.67,6,1,4,FALSE
