total_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_time,branch_count,decision_count,call_pairs,condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,formal_parameters,Defect
22,17,2,32,10,42,0.68,0.53,1.89,1.29,0.07,0,0,2,0,22,1,0,0,FALSE
53,14,6,18,19,37,0.34,0.26,3.85,1.31,0.07,3,3,1,3,0,4,1,2,FALSE
61,7,10,33,97,130,0.05,0.04,25,1.25,0.07,19,19,0,70,1.22,50,3.68,2,FALSE
16,8,5,8,10,18,0.45,0.4,2.5,1.12,0.06,1,0,3,0,8,2,0,0,FALSE
16,8,5,8,10,18,0.45,0.4,2.5,1.12,0.06,1,0,3,0,8,2,0,0,FALSE
13,8,4,11,9,20,0.39,0.36,2.78,1.08,0.06,0,0,2,0,13,1,0,0,FALSE
28,16,6,22,22,44,0.32,0.24,4.17,1.33,0.07,1,0,5,0,14,2,0,0,FALSE
27,25,7,41,30,71,0.26,0.17,5.88,1.53,0.09,0,0,9,0,27,1,0,0,FALSE
15,9,4,15,11,26,0.33,0.3,3.33,1.1,0.06,0,0,2,0,15,1,0,0,FALSE
24,14,5,15,14,29,0.47,0.37,2.7,1.27,0.07,1,0,1,0,12,2,0,0,FALSE
13,8,4,8,9,17,0.54,0.5,2,1.08,0.06,1,0,3,0,6.5,2,0,0,FALSE
15,9,4,15,11,26,0.33,0.3,3.33,1.1,0.06,0,0,2,0,15,1,0,0,FALSE
13,8,4,11,9,20,0.39,0.36,2.78,1.08,0.06,0,0,2,0,13,1,0,0,FALSE
15,9,6,9,14,23,0.39,0.33,3.03,1.18,0.07,1,0,3,0,7.5,2,0,0,FALSE
13,8,4,11,9,20,0.39,0.36,2.78,1.08,0.06,0,0,2,0,13,1,0,0,FALSE
17,9,4,15,11,26,0.33,0.3,3.33,1.1,0.06,0,0,2,0,17,1,0,0,FALSE
32,31,9,43,29,72,0.26,0.16,6.25,1.62,0.09,2,2,7,4,10.67,3,2,0,FALSE
12,8,4,8,8,16,0.54,0.5,2,1.08,0.06,1,0,4,1,6,2,0,0,FALSE
21,17,6,19,17,36,0.41,0.3,3.33,1.37,0.08,1,0,4,1,10.5,2,0,0,FALSE
30,20,5,31,22,53,0.36,0.26,3.85,1.39,0.08,1,0,4,0,15,2,0,0,FALSE
15,9,4,15,11,26,0.33,0.3,3.33,1.1,0.06,0,0,2,0,15,1,0,0,FALSE
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE
85,30,6,119,69,188,0.12,0.08,12.5,1.5,0.08,0,0,6,0,85,1,0,0,FALSE
40,23,5,46,33,79,0.29,0.2,5,1.45,0.08,0,0,7,0,40,1,0,0,FALSE
49,32,5,69,46,115,0.3,0.19,5.26,1.58,0.09,0,0,7,0,49,1,0,0,FALSE
37,21,5,42,31,73,0.28,0.2,5,1.4,0.08,0,0,6,0,37,1,0,0,FALSE
43,19,6,27,25,52,0.32,0.23,4.35,1.39,0.08,2,0,3,0,14.33,3,0,0,FALSE
30,14,10,24,29,53,0.17,0.12,8.33,1.42,0.08,4,4,3,8,6,5,2,2,FALSE
