total_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_time,branch_count,decision_count,call_pairs,condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,formal_parameters,Defect
14,9,11,28,34,62,185,0.06,16.67,3083.33,171.3,4,2,3,2,2,0.14,1,1,FALSE
11,10,15,29,35,64,206,0.05,20,4120,228.89,4,2,2,2,3,0.33,1,2,TRUE
11,10,15,29,35,64,206,0.05,20,4120,228.89,4,2,2,2,3,0.33,1,2,FALSE
11,10,15,29,35,64,206,0.05,20,4120,228.89,4,2,2,2,3,0.33,1,2,FALSE
13,10,15,26,37,63,202,0.05,20,4040,224.44,6,3,2,2,4,0.36,1.5,2,TRUE
13,10,15,26,37,63,202,0.05,20,4040,224.44,6,3,2,2,4,0.36,1.5,2,FALSE
21,16,14,29,43,72,244,0.08,12.5,3050,169.44,10,5,4,4,6,0.33,1.25,2,TRUE
21,16,14,29,43,72,244,0.08,12.5,3050,169.44,10,5,4,4,6,0.33,1.25,2,TRUE
25,15,16,32,47,79,271,0.06,16.67,4516.67,250.93,10,5,3,4,6,0.3,1.25,2,TRUE
25,15,16,32,47,79,271,0.06,16.67,4516.67,250.93,10,5,3,4,6,0.3,1.25,2,FALSE
15,8,12,22,31,53,158,0.06,16.67,2633.33,146.3,4,2,2,1,3,0.23,2,1,TRUE
15,8,12,22,31,53,158,0.06,16.67,2633.33,146.3,4,2,2,1,3,0.23,2,1,FALSE
23,10,15,36,49,85,273,0.04,25,6825,379.17,6,3,1,2,4,0.21,1.5,1,FALSE
25,17,17,45,52,97,342,0.04,25,8550,475,4,2,5,0,3,0.19,0,1,FALSE
25,17,17,45,52,97,342,0.04,25,8550,475,4,2,5,0,3,0.19,0,1,FALSE
25,17,17,45,52,97,342,0.04,25,8550,475,4,2,5,0,3,0.19,0,1,FALSE
40,32,22,72,91,163,650,0.04,25,16250,902.78,14,7,16,5,7,0.22,1.4,0,TRUE
40,32,22,72,91,163,650,0.04,25,16250,902.78,14,7,16,5,7,0.22,1.4,0,TRUE
40,32,22,72,91,163,650,0.04,25,16250,902.78,14,7,16,5,7,0.22,1.4,0,TRUE
40,32,22,72,91,163,650,0.04,25,16250,902.78,14,7,16,5,7,0.22,1.4,0,TRUE
40,32,22,72,91,163,650,0.04,25,16250,902.78,14,7,16,5,7,0.22,1.4,0,TRUE
40,32,22,72,91,163,650,0.04,25,16250,902.78,14,7,16,5,7,0.22,1.4,0,TRUE
40,32,22,72,91,163,650,0.04,25,16250,902.78,14,7,16,5,7,0.22,1.4,0,TRUE
40,32,22,72,91,163,650,0.04,25,16250,902.78,14,7,16,5,7,0.22,1.4,0,TRUE
40,32,22,72,91,163,650,0.04,25,16250,902.78,14,7,16,5,7,0.22,1.4,0,TRUE
38,34,18,79,94,173,683,0.05,20,13660,758.89,14,7,14,6,8,0.28,1.17,3,TRUE
38,34,18,79,94,173,683,0.05,20,13660,758.89,14,7,14,6,8,0.28,1.17,3,TRUE
38,34,18,79,94,173,683,0.05,20,13660,758.89,14,7,14,6,8,0.28,1.17,3,TRUE
38,34,18,79,94,173,683,0.05,20,13660,758.89,14,7,14,6,8,0.28,1.17,3,TRUE
38,34,18,79,94,173,683,0.05,20,13660,758.89,14,7,14,6,8,0.28,1.17,3,TRUE
38,34,18,79,94,173,683,0.05,20,13660,758.89,14,7,14,6,8,0.28,1.17,3,TRUE
50,36,19,89,115,204,817,0.04,25,20425,1134.72,20,10,11,8,11,0.3,1.25,3,TRUE
50,36,19,89,115,204,817,0.04,25,20425,1134.72,20,10,11,8,11,0.3,1.25,3,TRUE
50,36,19,89,115,204,817,0.04,25,20425,1134.72,20,10,11,8,11,0.3,1.25,3,TRUE
50,36,19,89,115,204,817,0.04,25,20425,1134.72,20,10,11,8,11,0.3,1.25,3,TRUE
50,36,19,89,115,204,817,0.04,25,20425,1134.72,20,10,11,8,11,0.3,1.25,3,TRUE
50,36,19,89,115,204,817,0.04,25,20425,1134.72,20,10,11,8,11,0.3,1.25,3,TRUE
50,36,19,89,115,204,817,0.04,25,20425,1134.72,20,10,11,8,11,0.3,1.25,3,TRUE
28,32,18,64,72,136,532,0.06,16.67,8866.67,492.59,6,3,10,2,4,0.2,1.5,1,TRUE
28,32,18,64,72,136,532,0.06,16.67,8866.67,492.59,6,3,10,2,4,0.2,1.5,1,FALSE
28,32,18,64,72,136,532,0.06,16.67,8866.67,492.59,6,3,10,2,4,0.2,1.5,1,FALSE
91,58,22,139,180,319,1397,0.04,25,34925,1940.28,26,13,22,10,13,0.18,1.3,3,FALSE
91,58,22,139,180,319,1397,0.04,25,34925,1940.28,26,13,22,10,13,0.18,1.3,3,FALSE
91,58,22,139,180,319,1397,0.04,25,34925,1940.28,26,13,22,10,13,0.18,1.3,3,FALSE
91,58,22,139,180,319,1397,0.04,25,34925,1940.28,26,13,22,10,13,0.18,1.3,3,FALSE
91,58,22,139,180,319,1397,0.04,25,34925,1940.28,26,13,22,10,13,0.18,1.3,3,FALSE
91,58,22,139,180,319,1397,0.04,25,34925,1940.28,26,13,22,10,13,0.18,1.3,3,FALSE
91,58,22,139,180,319,1397,0.04,25,34925,1940.28,26,13,22,10,13,0.18,1.3,3,FALSE
