total_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_time,branch_count,decision_count,call_pairs,condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,formal_parameters,Defect
68,30,18,128,173,301,1165,0.03,33.33,38833.33,2157.41,22,11,18,11,9,0.15,1,2,TRUE
13,11,8,21,28,49,144,0.13,7.69,1107.69,61.54,0,0,3,0,1,0.08,0,3,FALSE
19,14,14,43,60,103,343,0.05,20,6860,381.11,2,1,2,0,2,0.12,0,5,FALSE
30,17,14,73,109,182,624,0.03,33.33,20800,1155.56,6,3,3,0,4,0.15,0,6,FALSE
30,17,14,73,109,182,624,0.03,33.33,20800,1155.56,6,3,3,0,4,0.15,0,6,FALSE
30,17,14,73,109,182,624,0.03,33.33,20800,1155.56,6,3,3,0,4,0.15,0,6,FALSE
27,15,14,53,84,137,461,0.04,25,11525,640.28,4,2,2,0,3,0.13,0,7,FALSE
27,15,14,53,84,137,461,0.04,25,11525,640.28,4,2,2,0,3,0.13,0,7,FALSE
19,14,14,33,53,86,286,0.06,16.67,4766.67,264.82,2,1,1,0,2,0.12,0,6,FALSE
75,28,24,137,196,333,1315,0.02,50,65750,3652.78,20,10,5,8,10,0.17,1.25,3,FALSE
75,28,24,137,196,333,1315,0.02,50,65750,3652.78,20,10,5,8,10,0.17,1.25,3,FALSE
36,17,12,50,67,117,393,0.06,16.67,6550,363.89,8,4,2,3,4,0.13,1.33,4,FALSE
26,17,12,44,63,107,360,0.06,16.67,6000,333.33,4,2,11,0,3,0.13,0,2,FALSE
26,17,12,44,63,107,360,0.06,16.67,6000,333.33,4,2,11,0,3,0.13,0,2,FALSE
30,10,15,40,90,130,418,0.03,33.33,13933.33,774.07,14,7,0,3,8,0.38,2.33,4,TRUE
30,10,15,40,90,130,418,0.03,33.33,13933.33,774.07,14,7,0,3,8,0.38,2.33,4,TRUE
22,15,20,53,74,127,451,0.03,33.33,15033.33,835.19,8,4,3,2,4,0.19,2,1,FALSE
22,17,19,51,67,118,422,0.04,25,10550,586.11,6,3,4,1,4,0.21,3,2,FALSE
11,10,9,18,23,41,120,0.12,8.33,1000,55.56,0,0,2,0,1,0.1,0,1,FALSE
10,7,8,14,24,38,102,0.13,7.69,784.62,43.59,0,0,1,0,1,0.13,0,0,FALSE
38,17,13,79,94,173,588,0.03,33.33,19600,1088.89,8,4,3,4,4,0.12,1,3,FALSE
11,10,7,20,24,44,124,0.14,7.14,885.71,49.21,0,0,1,0,1,0.13,0,3,TRUE
10,10,10,23,27,50,149,0.09,11.11,1655.56,91.98,0,0,1,0,1,0.13,0,2,FALSE
10,12,10,24,26,50,154,0.1,10,1540,85.56,0,0,1,0,1,0.13,0,2,FALSE
10,12,10,24,26,50,154,0.1,10,1540,85.56,0,0,1,0,1,0.13,0,2,FALSE
10,12,10,24,26,50,154,0.1,10,1540,85.56,0,0,1,0,1,0.13,0,2,FALSE
10,12,10,24,26,50,154,0.1,10,1540,85.56,0,0,1,0,1,0.13,0,2,FALSE
12,9,10,26,31,57,167,0.07,14.29,2385.71,132.54,0,0,1,0,1,0.09,0,2,FALSE
12,11,10,27,30,57,173,0.08,12.5,2162.5,120.14,0,0,1,0,1,0.09,0,2,FALSE
13,11,10,27,30,57,173,0.08,12.5,2162.5,120.14,0,0,1,0,1,0.09,0,2,FALSE
12,11,10,27,30,57,173,0.08,12.5,2162.5,120.14,0,0,1,0,1,0.09,0,2,FALSE
12,11,10,27,30,57,173,0.08,12.5,2162.5,120.14,0,0,1,0,1,0.09,0,2,FALSE
15,13,12,34,41,75,241,0.06,16.67,4016.67,223.15,2,1,2,0,2,0.14,0,2,FALSE
15,13,12,34,41,75,241,0.06,16.67,4016.67,223.15,2,1,2,0,2,0.14,0,2,FALSE
56,47,21,101,155,256,1080,0.04,25,27000,1500,40,20,8,20,16,0.3,1,2,FALSE
