total_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_time,branch_count,decision_count,call_pairs,condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,formal_parameters,Defect
205,65,26,287,413,700,3157,0.02,50,157850,8769.44,56,28,24,22,27,0.17,1.27,9,TRUE
205,65,26,287,413,700,3157,0.02,50,157850,8769.44,56,28,24,22,27,0.17,1.27,9,TRUE
205,65,26,287,413,700,3157,0.02,50,157850,8769.44,56,28,24,22,27,0.17,1.27,9,TRUE
205,65,26,287,413,700,3157,0.02,50,157850,8769.44,56,28,24,22,27,0.17,1.27,9,TRUE
205,65,26,287,413,700,3157,0.02,50,157850,8769.44,56,28,24,22,27,0.17,1.27,9,TRUE
413,145,33,638,874,1512,7834,0.01,100,783400,43522.22,170,85,86,83,75,0.2,1.02,8,TRUE
413,145,33,638,874,1512,7834,0.01,100,783400,43522.22,170,85,86,83,75,0.2,1.02,8,TRUE
305,88,28,424,615,1039,4938,0.01,100,493800,27433.33,90,45,44,41,41,0.15,1.1,8,TRUE
305,88,28,424,615,1039,4938,0.01,100,493800,27433.33,90,45,44,41,41,0.15,1.1,8,TRUE
305,88,28,424,615,1039,4938,0.01,100,493800,27433.33,90,45,44,41,41,0.15,1.1,8,TRUE
305,88,28,424,615,1039,4938,0.01,100,493800,27433.33,90,45,44,41,41,0.15,1.1,8,TRUE
305,88,28,424,615,1039,4938,0.01,100,493800,27433.33,90,45,44,41,41,0.15,1.1,8,TRUE
305,88,28,424,615,1039,4938,0.01,100,493800,27433.33,90,45,44,41,41,0.15,1.1,8,TRUE
305,88,28,424,615,1039,4938,0.01,100,493800,27433.33,90,45,44,41,41,0.15,1.1,8,TRUE
70,40,17,119,143,262,1059,0.04,25,26475,1470.83,38,19,9,19,14,0.25,1,5,TRUE
70,40,17,119,143,262,1059,0.04,25,26475,1470.83,38,19,9,19,14,0.25,1,5,TRUE
99,41,17,130,177,307,1246,0.04,25,31150,1730.56,42,21,12,20,17,0.2,1.05,7,TRUE
61,41,16,117,148,265,1071,0.04,25,26775,1487.5,20,10,12,10,7,0.14,1,6,TRUE
61,41,16,117,148,265,1071,0.04,25,26775,1487.5,20,10,12,10,7,0.14,1,6,TRUE
61,41,16,117,148,265,1071,0.04,25,26775,1487.5,20,10,12,10,7,0.14,1,6,TRUE
61,41,16,117,148,265,1071,0.04,25,26775,1487.5,20,10,12,10,7,0.14,1,6,TRUE
61,41,16,117,148,265,1071,0.04,25,26775,1487.5,20,10,12,10,7,0.14,1,6,TRUE
61,41,16,117,148,265,1071,0.04,25,26775,1487.5,20,10,12,10,7,0.14,1,6,TRUE
61,41,16,117,148,265,1071,0.04,25,26775,1487.5,20,10,12,10,7,0.14,1,6,TRUE
61,41,16,117,148,265,1071,0.04,25,26775,1487.5,20,10,12,10,7,0.14,1,6,TRUE
61,41,16,117,148,265,1071,0.04,25,26775,1487.5,20,10,12,10,7,0.14,1,6,TRUE
61,41,16,117,148,265,1071,0.04,25,26775,1487.5,20,10,12,10,7,0.14,1,6,TRUE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,TRUE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,TRUE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,TRUE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,TRUE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,TRUE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,TRUE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,TRUE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,FALSE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,FALSE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,FALSE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,TRUE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,TRUE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,TRUE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,FALSE
35,18,17,59,82,141,501,0.04,25,12525,695.83,14,7,5,6,6,0.21,1.17,2,TRUE
64,38,24,134,185,319,1316,0.02,50,65800,3655.56,30,15,9,14,12,0.22,1.07,3,TRUE
64,38,24,134,185,319,1316,0.02,50,65800,3655.56,30,15,9,14,12,0.22,1.07,3,TRUE
64,38,24,134,185,319,1316,0.02,50,65800,3655.56,30,15,9,14,12,0.22,1.07,3,TRUE
64,38,24,134,185,319,1316,0.02,50,65800,3655.56,30,15,9,14,12,0.22,1.07,3,TRUE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,TRUE
1110,290,38,1956,2485,4441,25726,0.01,100,2572600,142922.22,376,188,196,159,164,0.19,1.18,2,FALSE
37,22,9,36,55,91,312,0.14,7.14,2228.57,123.81,10,5,8,5,6,0.19,1,0,TRUE
193,85,18,268,345,613,2841,0.04,25,71025,3945.83,90,45,63,45,38,0.22,1,3,TRUE
